Company,Sales ($billion),Profits ($billion),Total Cost($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude
Telenor,18.3,1.7,16.6,29.6,34.1,Norway,Europe,60.472024,8.468946
KB Financial Group,15.6,1.5,14.1,265.1,13.2,South Korea,Asia,35.907757,127.766922
Enbridge,25.4,0.7,24.7,47.4,36.9,Canada,North America,56.130366,-106.346771
Fresenius,24.8,1.2,23.6,40.5,22.1,Germany,Europe,51.165691,10.451526
Samsung Life Insurance,19.1,0.8,18.3,142.2,17.7,South Korea,Asia,35.907757,127.766922
Komatsu,23.9,2,21.9,27.7,22.2,Japan,Asia,36.204824,138.252924
Maybank,9.1,1.9,7.2,161.4,24.3,Malaysia,Asia,4.210484,101.975766
Isbank,12.4,1.9,10.5,112.7,16.8,Turkey,Europe,38.963745,35.243322
Tata Motors,32.6,2.7,29.9,27.6,15.9,India,Asia,20.593684,78.96288
Resona Holdings,9.5,3.1,6.4,522.9,13.6,Japan,Asia,36.204824,138.252924
Kroger,96.8,1.5,95.3,24.7,16.3,USA,North America,37.09024,-95.712891
SunTrust Banks,11.2,2,9.2,173.4,15.7,USA,North America,37.09024,-95.712891
Carnival,15.4,1.5,13.9,38.7,28.4,Panama,North America,8.537981,-80.782127
American Electric,14.9,1.3,13.6,54.4,23.3,USA,North America,37.09024,-95.712891
Chubb,13.6,1.5,12.1,52.2,22.3,USA,North America,37.09024,-95.712891
Garanti Bank,9.8,1.9,7.9,99.2,22,Turkey,Europe,38.963745,35.243322
Inpex,14.3,2.3,12,36.9,20.6,Japan,Asia,36.204824,138.252924
NIKE,25.3,2.4,22.9,15.6,49.4,USA,North America,37.09024,-95.712891
Monsanto,14,2.3,11.7,22.5,55.9,USA,North America,37.09024,-95.712891
United Overseas Bank,7.2,2.3,4.9,207,25.1,Singapore,Asia,1.352083,103.819836
MTN Group,16.5,2.5,14,21.4,34.5,South Africa,Africa,-30.559482,22.937506
Eaton,16.3,1.2,15.1,35.8,29.5,Ireland,Europe,53.41291,-8.24389
Marathon Oil,15.6,1.6,14,35.3,24.8,USA,North America,37.09024,-95.712891
Femsa,18.5,1.6,16.9,22.6,37.7,Mexico,North America,23.634501,-102.552784
Indian Oil,70.8,0.8,70,43.2,14.2,India,Asia,20.593684,78.96288
Raytheon,24.4,1.9,22.5,26.7,18.9,USA,North America,37.09024,-95.712891
HCA Holdings,33,1.6,31.4,28.1,16.8,USA,North America,37.09024,-95.712891
Kimberly-Clark,21.1,1.8,19.3,19.9,36.2,USA,North America,37.09024,-95.712891
WPP,16.9,1.3,15.6,40.3,20.7,UK,Europe,55.378051,-3.435973
Michelin Group,28.3,2.1,26.2,26.4,16.2,France,Europe,46.227638,2.213749
Cardinal Health,104.8,1.1,103.7,24.6,15.9,USA,North America,37.09024,-95.712891
Thomson Reuters,13.3,2.1,11.2,32.6,26.7,Canada,North America,56.130366,-106.346771
Saudi Telecom,15.8,1.9,13.9,31.3,21.7,Saudi Arabia,Asia,23.885942,45.079162
Kraft Foods Group,18.3,1.6,16.7,23.3,29.8,USA,North America,37.09024,-95.712891
Delta Air Lines,36.7,1,35.7,44.6,13.6,USA,North America,37.09024,-95.712891
Northrop Grumman,25.2,2,23.2,26.5,16.3,USA,North America,37.09024,-95.712891
Fannie Mae,131.9,7.2,124.7,3226.2,2.3,USA,North America,37.09024,-95.712891
Illinois Tool Works,17.9,2.9,15,19.3,28.3,USA,North America,37.09024,-95.712891
General Mills,17.4,1.8,15.6,22.8,29.9,USA,North America,37.09024,-95.712891
SK Innovation,65.1,1.1,64,31.8,13.7,South Korea,Asia,35.907757,127.766922
Safran,18,1.7,16.3,30,19.6,France,Europe,46.227638,2.213749
CenturyLink,18.4,0.8,17.6,54,21.5,USA,North America,37.09024,-95.712891
Baoshan Iron & Steel,35.4,1.2,34.2,36.7,13.4,China,Asia,35.86166,104.195397
Baxter International,14.2,2.3,11.9,20.4,37.9,USA,North America,37.09024,-95.712891
Freddie Mac,80.6,11,69.6,1989.9,1.3,USA,North America,37.09024,-95.712891
AMP,17.2,0.7,16.5,122.1,16,Australia,Oceania,-25.274398,133.775136
Canadian National Railway,10,2.7,7.3,26.8,42.7,Canada,North America,56.130366,-106.346771
Baker Hughes,21.4,1.3,20.1,26.7,21.2,USA,North America,37.09024,-95.712891
EDP-Energias de Portugal,21.6,1.3,20.3,55.2,11.5,Portugal,Europe,39.399872,-8.224454
Coal India,12.3,2.9,9.4,20.8,37.4,India,Asia,20.593684,78.96288
Kering,12.8,1.4,11.4,32.5,29.4,France,Europe,46.227638,2.213749
Hyundai Heavy Industries,48.8,0.9,47.9,46.3,11.6,South Korea,Asia,35.907757,127.766922
CBS,14.1,1.6,12.5,26.5,29.4,USA,North America,37.09024,-95.712891
Viacom,13.2,2.2,11,21.9,31.3,USA,North America,37.09024,-95.712891
Akbank,8.2,1.7,6.5,91.6,20.6,Turkey,Europe,38.963745,35.243322
Woori Finance Holdings,15.2,1.4,13.8,306.2,9,South Korea,Asia,35.907757,127.766922
NTPC,12.8,1.9,10.9,30.5,22.3,India,Asia,20.593684,78.96288
Norilsk Nickel,12.8,3.3,9.5,18.8,32.9,Russia,Europe,61.52401,105.318756
Alstom,26.6,1,25.6,39.4,14,France,Europe,46.227638,2.213749
International Paper,27.8,0.8,27,32.2,20.1,USA,North America,37.09024,-95.712891
Sabanci Holding,14.6,1,13.6,98.3,12.7,Turkey,Europe,38.963745,35.243322
PPL,12.3,1.5,10.8,43.6,17.8,USA,North America,37.09024,-95.712891
Pernod Ricard,10.4,1.5,8.9,33.5,34.5,France,Europe,46.227638,2.213749
Lloyds Banking Group,75.6,-2.3,77.9,1495.9,53.8,UK,Europe,55.378051,-3.435973
Gilead Sciences,9.7,2.6,7.1,21.2,68.4,USA,North America,37.09024,-95.712891
Suncorp Group,15.6,0.7,14.9,98.3,15.9,Australia,Oceania,-25.274398,133.775136
Mitsubishi Estate,12.2,0.7,11.5,53.2,40.8,Japan,Asia,36.204824,138.252924
CSX,11.8,1.9,9.9,30.6,24.5,USA,North America,37.09024,-95.712891
FirstRand,8.4,1.6,6.8,94.1,18,South Africa,Africa,-30.559482,22.937506
PG&E,15,0.8,14.2,52.4,19.1,USA,North America,37.09024,-95.712891
Mapfre,27.1,0.9,26.2,69.2,10.7,Spain,Europe,40.463667,-3.74922
Barclays,55.7,-1.7,57.4,2422.5,62.3,UK,Europe,55.378051,-3.435973
Automatic Data,10.9,1.4,9.5,33.3,31.3,USA,North America,37.09024,-95.712891
Colgate-Palmolive,17.1,2.5,14.6,13.4,52.4,USA,North America,37.09024,-95.712891
Deutsche Lufthansa,39.7,1.3,38.4,37.5,9.7,Germany,Europe,51.165691,10.451526
Huaneng Power International,21.1,0.9,20.2,41.2,14.9,China,Asia,35.86166,104.195397
SK Holdings,106.3,0.9,105.4,85.2,7,South Korea,Asia,35.907757,127.766922
TransCanada,8,1.4,6.6,48.5,33.9,Canada,North America,56.130366,-106.346771
Huaxia Bank,10.5,1.5,9,197.2,11.5,China,Asia,35.86166,104.195397
Texas Instruments,12.8,1.8,11,20,38.8,USA,North America,37.09024,-95.712891
Ameriprise Financial,10.3,1,9.3,134.7,15.1,USA,North America,37.09024,-95.712891
QBE Insurance Group,17,0.8,16.2,50.8,17,Australia,Oceania,-25.274398,133.775136
EXOR,117.5,0.7,116.8,159.4,7.1,Italy,Europe,41.87194,12.56738
Lafarge,20.9,0.6,20.3,50.5,20.3,France,Europe,46.227638,2.213749
Talanx,34.9,0.8,34.1,171.7,7.9,Germany,Europe,51.165691,10.451526
Norfolk Southern,11,1.7,9.3,30.3,23.7,USA,North America,37.09024,-95.712891
Orix,11.8,1,10.8,101.2,13.5,Japan,Asia,36.204824,138.252924
Covidien,12,1.9,10.1,22,30.9,Ireland,Europe,53.41291,-8.24389
FirstEnergy,15.3,0.8,14.5,50.4,17.6,USA,North America,37.09024,-95.712891
Mitsui Fudosan,16.2,0.6,15.6,46.9,25.2,Japan,Asia,36.204824,138.252924
Royal Bank of Scotland,42.1,-9.4,51.5,2133.1,52,UK,Europe,55.378051,-3.435973
Macy's,27.7,1.3,26.4,21,16.2,USA,North America,37.09024,-95.712891
Las Vegas Sands,11.1,1.5,9.6,22.2,44.1,USA,North America,37.09024,-95.712891
Aeon,64.1,0.8,63.3,49.1,8.9,Japan,Asia,36.204824,138.252924
Ageas,20.6,1,19.6,128,8.5,Belgium,Europe,50.503887,4.469936
Thermo Fisher Scientific,12.5,1.2,11.3,27.4,27.6,USA,North America,37.09024,-95.712891
Bouygues,44.3,0.8,43.5,48.1,9.4,France,Europe,46.227638,2.213749
Cenovus Energy,16.9,1,15.9,24.3,24.4,Canada,North America,56.130366,-106.346771
Ahold,43.3,1.1,42.2,19.4,15.7,The Netherlands,Europe,52.132633,5.291266
CEZ Group,11.3,2.2,9.1,33.4,15.7,Czech Republic,Europe,49.817492,15.472962
Sampo,8.4,1.9,6.5,41.4,22.2,Finland,Europe,61.92411,25.748151
Hana Financial Group,12.5,1.5,11,263.9,8.5,South Korea,Asia,35.907757,127.766922
Consolidated Edison,12.2,1.1,11.1,41.2,17.3,USA,North America,37.09024,-95.712891
Deutsche Telekom,76.9,-6.9,83.8,136.1,48.4,Germany,Europe,51.165691,10.451526
Rio Tinto,51,-3,54,117.6,98.5,UK,Europe,55.378051,-3.435973
Generali Group,116.7,0.1,116.6,582.4,26,Italy,Europe,41.87194,12.56738
CLP Holdings,13.5,1.1,12.4,29.4,21.7,Hong Kong,Asia,22.396428,114.109497
Hewlett-Packard,118.7,-12.9,131.6,106.7,43.1,USA,North America,37.09024,-95.712891
Novo Nordisk,13.8,3.8,10,11.2,95,Denmark,Europe,56.26392,9.501785
Grupo Mexico,10.4,2.4,8,18.4,32.3,Mexico,North America,23.634501,-102.552784
Lincoln National,11.5,1.3,10.2,218.9,9.1,USA,North America,37.09024,-95.712891
Loews,14.6,0.6,14,80,17.5,USA,North America,37.09024,-95.712891
Morgan Stanley,32,0.1,31.9,781,46.6,USA,North America,37.09024,-95.712891
Fubon Financial,9.4,1,8.4,119.3,13.7,Taiwan,Asia,23.69781,120.960515
Macquarie Group,11.4,0.8,10.6,157.8,13.5,Australia,Oceania,-25.274398,133.775136
Bank Mandiri,6.3,1.6,4.7,65.5,24,Indonesia,Asia,-0.789275,113.921327
Rogers Communications,12.5,1.7,10.8,19.7,25.3,Canada,North America,56.130366,-106.346771
Newmont Mining,9.9,1.8,8.1,29.6,19.7,USA,North America,37.09024,-95.712891
Shin-Etsu Chemical,12.7,1.2,11.5,21.8,28.7,Japan,Asia,36.204824,138.252924
Merck,13.8,0.7,13.1,28.6,32,Germany,Europe,51.165691,10.451526
Fifth Third Bancorp,7.1,1.6,5.5,121.9,14.7,USA,North America,37.09024,-95.712891
Toyota Tsusho,71.5,0.8,70.7,34.4,9.2,Japan,Asia,36.204824,138.252924
CRH,24.6,0.7,23.9,27.6,16.7,Ireland,Europe,53.41291,-8.24389
Bharti Airtel,14,0.8,13.2,29.8,21.8,India,Asia,20.593684,78.96288
Praxair,11.2,1.7,9.5,18.1,33.6,USA,North America,37.09024,-95.712891
Xerox,22.4,1.2,21.2,30,10.7,USA,North America,37.09024,-95.712891
Intesa Sanpaolo,47.7,-10.6,58.3,813.8,26.4,Italy,Europe,41.87194,12.56738
Crédit Agricole,51.2,-8.3,59.5,2431.4,23.4,France,Europe,46.227638,2.213749
Bank Rakyat Indonesia,6,1.9,4.1,57,22.4,Indonesia,Asia,-0.789275,113.921327
Porsche Automobil Holding,5.2,10.3,-5.1,41.1,24.5,Germany,Europe,51.165691,10.451526
HDFC Bank,6.5,1,5.5,66.7,28.1,India,Asia,20.593684,78.96288
National Bank of Canada,7.1,1.6,5.5,184,12.3,Canada,North America,56.130366,-106.346771
Magna International,30.8,1.4,29.4,17.1,13.2,Canada,North America,56.130366,-106.346771
Humana,39.1,1.2,37.9,20,11.1,USA,North America,37.09024,-95.712891
Kirin Holdings,21.6,0.6,21,33.6,15.2,Japan,Asia,36.204824,138.252924
CIMB Group Holdings,6.3,1.4,4.9,110.2,16.8,Malaysia,Asia,4.210484,101.975766
Keppel Corp,11.4,1.8,9.6,23.9,17,Singapore,Asia,1.352083,103.819836
Lotte Shopping,22.2,1,21.2,34.6,10.3,South Korea,Asia,35.907757,127.766922
Compass Group,27.3,1,26.3,14.4,23.1,UK,Europe,55.378051,-3.435973
Paccar,17,1.1,15.9,18.6,18,USA,North America,37.09024,-95.712891
China Coal Energy,13.6,1.5,12.1,29.5,12.2,China,Asia,35.86166,104.195397
Aon,11.5,1,10.5,30.5,18.7,UK,Europe,55.378051,-3.435973
EnBW-Energie Baden,24.7,0.6,24.1,48.5,10.8,Germany,Europe,51.165691,10.451526
Kinder Morgan,10,0.4,9.6,68.5,41.2,USA,North America,37.09024,-95.712891
Siam Commercial Bank,6,1.3,4.7,74.2,21.5,Thailand,Asia,15.870032,100.992541
TJX Cos,25.9,1.9,24,9.5,32.8,USA,North America,37.09024,-95.712891
Sysco,43.4,1.1,42.3,12.4,19.8,USA,North America,37.09024,-95.712891
Fortum,8.1,1.9,6.2,32.3,17.6,Finland,Europe,61.92411,25.748151
Atlas Copco,13.4,2.1,11.3,12.5,35.2,Sweden,Europe,60.128161,18.643501
LG Chem,21.9,1.4,20.5,15.4,16.2,South Korea,Asia,35.907757,127.766922
Woodside Petroleum,6.4,3,3.4,23.9,31.9,Australia,Oceania,-25.274398,133.775136
Tatneft,13,2.1,10.9,19.5,14.8,Russia,Europe,61.52401,105.318756
ArcelorMittal,84.2,-3.7,87.9,114.6,23.1,Luxembourg,Europe,49.815273,6.129583
H&M,18.1,2.5,15.6,8.8,59.8,Sweden,Europe,60.128161,18.643501
Suzuki Motor,30.3,0.7,29.6,27.2,13.3,Japan,Asia,36.204824,138.252924
Bank of Beijing,6.3,1.4,4.9,151.7,13.1,China,Asia,35.86166,104.195397
Public Service Enterprise,9.8,1.3,8.5,31.7,16.8,USA,North America,37.09024,-95.712891
Mosaic,10.1,1.9,8.2,17.3,26.7,USA,North America,37.09024,-95.712891
GFNorte,7.7,0.8,6.9,70.6,18.5,Mexico,North America,23.634501,-102.552784
Kyocera,14.1,1,13.1,24,17.1,Japan,Asia,36.204824,138.252924
Associated British Foods,19.8,0.9,18.9,16.2,22.7,UK,Europe,55.378051,-3.435973
Origin Energy,13.2,1,12.2,28.7,14.9,Australia,Oceania,-25.274398,133.775136
Otsuka Holdings,13.9,1.1,12.8,19.9,18.6,Japan,Asia,36.204824,138.252924
Telus,11,1.3,9.7,20.5,22.3,Canada,North America,56.130366,-106.346771
Potash of Saskatchewan,7.9,2.1,5.8,18.2,35.3,Canada,North America,56.130366,-106.346771
Etisalat,9,1.8,7.2,21.8,21.8,United Arab Emirates,Asia,23.424076,53.847818
Progressive,17.1,0.9,16.2,22.7,15.2,USA,North America,37.09024,-95.712891
Sempra Energy,9.6,0.9,8.7,36.5,19.2,USA,North America,37.09024,-95.712891
Corning,8,1.7,6.3,29.4,19,USA,North America,37.09024,-95.712891
Reed Elsevier,9.9,1.7,8.2,17.9,25.6,UK,Europe,55.378051,-3.435973
Dongfeng Motor Group,19.7,1.4,18.3,19.2,11.8,China,Asia,35.86166,104.195397
Tokio Marine Holdings,39.4,0.1,39.3,196.4,23.5,Japan,Asia,36.204824,138.252924
Sandvik,15.2,1.2,14,16,20.5,Sweden,Europe,60.128161,18.643501
Sony,78.5,-5.5,84,160.3,17.6,Japan,Asia,36.204824,138.252924
Poly Real Estate,9.6,1.3,8.3,40.3,12.2,China,Asia,35.86166,104.195397
New China Life Insurance,18,0.5,17.5,79.2,11.8,China,Asia,35.86166,104.195397
Agrium,16.7,1.5,15.2,16,15.3,Canada,North America,56.130366,-106.346771
Cummins,17.3,1.5,15.8,12.5,22.3,USA,North America,37.09024,-95.712891
EOG Resources,11.7,0.6,11.1,27.3,35.4,USA,North America,37.09024,-95.712891
Omnicom Group,14.2,1,13.2,22.2,15.7,USA,North America,37.09024,-95.712891
Teck Resources,10.4,0.8,9.6,34.8,17.4,Canada,North America,56.130366,-106.346771
Qatar National Bank,4,2.3,1.7,100.8,25.7,Qatar,Asia,25.354826,51.183884
Tenaris,11.1,1.7,9.4,15.7,24.2,Luxembourg,Europe,49.815273,6.129583
Tenaga Nasional,11.5,1.3,10.2,28.3,12.6,Malaysia,Asia,4.210484,101.975766
Swire Pacific,5.7,2.3,3.4,41.5,18.8,Hong Kong,Asia,22.396428,114.109497
Toyota Industries,18.6,0.7,17.9,32.2,11.7,Japan,Asia,36.204824,138.252924
Liberty Interactive,10.1,1.5,8.6,26.3,14.6,USA,North America,37.09024,-95.712891
J Sainsbury,35.7,1,34.7,19.7,10.4,UK,Europe,55.378051,-3.435973
Aviva,69,-5.1,74.1,512.7,14.5,UK,Europe,55.378051,-3.435973
Anglo American,29.4,-1.5,30.9,78.1,39.9,UK,Europe,55.378051,-3.435973
Cheung Kong Holdings,2.5,4.1,-1.6,49.4,33.7,Hong Kong,Asia,22.396428,114.109497
Kasikornbank,6,1.2,4.8,67.8,17.5,Thailand,Asia,15.870032,100.992541
Carlsberg,11.6,1,10.6,27.2,15.8,Denmark,Europe,56.26392,9.501785
Amazon.com,61.1,0,61.1,32.6,119,USA,North America,37.09024,-95.712891
Larsen & Toubro,12.6,0.9,11.7,23.8,17.2,India,Asia,20.593684,78.96288
Principal Financial Group,9.2,0.8,8.4,161.9,10,USA,North America,37.09024,-95.712891
Saudi Electricity,9,0.7,8.3,63.6,15.3,Saudi Arabia,Asia,23.885942,45.079162
Waste Management,13.6,0.8,12.8,23.1,17.4,USA,North America,37.09024,-95.712891
Murphy Oil,28.6,1,27.6,17.5,11.8,USA,North America,37.09024,-95.712891
CaixaBank,16.3,0.3,16,450.1,16.8,Spain,Europe,40.463667,-3.74922
Dai-ichi Life Insurance,56.5,0.2,56.3,403.2,13.4,Japan,Asia,36.204824,138.252924
Nomura Holdings,22.4,0.1,22.3,431.3,23.6,Japan,Asia,36.204824,138.252924
Vivendi,38.3,0.2,38.1,76.6,27.8,France,Europe,46.227638,2.213749
Fujitsu,54,0.5,53.5,35,9.2,Japan,Asia,36.204824,138.252924
Charles Schwab,5,0.9,4.1,133.6,22.8,USA,North America,37.09024,-95.712891
Al Rajhi Bank,4,2.1,1.9,71.3,26,Saudi Arabia,Asia,23.885942,45.079162
SSE,50.8,0.3,50.5,31.1,21.2,UK,Europe,55.378051,-3.435973
Ingersoll-Rand,14,1,13,18.5,16.4,Ireland,Europe,53.41291,-8.24389
Sime Darby,15,1.3,13.7,14.9,17.3,Malaysia,Asia,4.210484,101.975766
Halkbank,6.2,1.5,4.7,61,13.3,Turkey,Europe,38.963745,35.243322
Philips,32.7,0.3,32.4,35.8,27.5,The Netherlands,Europe,52.132633,5.291266
PPG Industries,15.2,0.9,14.3,15.9,20.2,USA,North America,37.09024,-95.712891
Mitsubishi Heavy Industries,34.1,0.3,33.8,48,18.8,Japan,Asia,36.204824,138.252924
Transneft,20.8,5.8,15,57.8,3.6,Russia,Europe,61.52401,105.318756
Korea Electric Power,43.9,-2.8,46.7,129.3,17.4,South Korea,Asia,35.907757,127.766922
Marsh & McLennan,11.9,1.2,10.7,16.3,20.3,USA,North America,37.09024,-95.712891
KT Corp,21.1,0.9,20.2,32.4,8.1,South Korea,Asia,35.907757,127.766922
Kellogg,14.2,1,13.2,15.2,22.5,USA,North America,37.09024,-95.712891
Aisin Seiki,27.8,0.7,27.1,24.7,10.6,Japan,Asia,36.204824,138.252924
Astellas Pharma,11.7,0.9,10.8,16.6,25.9,Japan,Asia,36.204824,138.252924
Entergy,10.3,0.9,9.4,43.2,11.6,USA,North America,37.09024,-95.712891
SK Telecom,14.5,1,13.5,24.1,11.5,South Korea,Asia,35.907757,127.766922
Simon Property Group,4.9,1.4,3.5,32.6,49.5,USA,North America,37.09024,-95.712891
Panasonic,94.8,-9.3,104.1,76.1,16.7,Japan,Asia,36.204824,138.252924
AmerisourceBergen,80.6,0.7,79.9,15.5,11.3,USA,North America,37.09024,-95.712891
Goldcorp,5.4,1.7,3.7,31.2,26.4,Canada,North America,56.130366,-106.346771
Xcel Energy,10.1,0.9,9.2,31.1,14.2,USA,North America,37.09024,-95.712891
HDFC,5.9,1.1,4.8,41.6,23.3,India,Asia,20.593684,78.96288
MasterCard,7.4,2.8,4.6,12.5,63.8,USA,North America,37.09024,-95.712891
Sumitomo Realty,8.3,0.6,7.7,46.7,18.4,Japan,Asia,36.204824,138.252924
Solvay,16.4,0.8,15.6,23.4,12.5,Belgium,Europe,50.503887,4.469936
Yara International,15.1,1.9,13.2,14.4,13.2,Norway,Europe,60.472024,8.468946
Sumitomo Electric,24.9,0.7,24.2,25,10,Japan,Asia,36.204824,138.252924
Quanta Computer,34.4,0.8,33.6,24.6,8.5,Taiwan,Asia,23.69781,120.960515
Regions Financial,6,1.1,4.9,121.3,11.8,USA,North America,37.09024,-95.712891
Falabella,11.5,0.8,10.7,17.9,26.8,Chile,South America,-35.675147,-71.542969
Adidas,19.6,0.7,18.9,14.7,21.8,Germany,Europe,51.165691,10.451526
Western Digital,15.6,2.1,13.5,13.9,12.1,USA,North America,37.09024,-95.712891
CIC Group,15.5,0.8,14.7,302.3,5.8,France,Europe,46.227638,2.213749
Cencosud,19.1,0.6,18.5,19.7,17.4,Chile,South America,-35.675147,-71.542969
Sanlam,10.8,0.7,10.1,52.3,10.7,South Africa,Africa,-30.559482,22.937506
MS&AD Insurance,42.2,-2,44.2,173.4,14.1,Japan,Asia,36.204824,138.252924
Veolia Environment,38.8,0.5,38.3,57.2,6.8,France,Europe,46.227638,2.213749
Wim Morrison Supermarkets,28.8,1,27.8,16.6,9.5,UK,Europe,55.378051,-3.435973
Novatek,6.9,2.3,4.6,15.1,31.3,Russia,Europe,61.52401,105.318756
Air Products & Chemicals,9.9,1.2,8.7,17.4,18.7,USA,North America,37.09024,-95.712891
PKO Bank Polski,5.7,1.2,4.5,62.3,13.8,Poland,Europe,51.919438,19.145136
Tokyo Gas,21.2,0.6,20.6,22.2,13.5,Japan,Asia,36.204824,138.252924
Precision Castparts,7.9,1.3,6.6,16.7,28.5,USA,North America,37.09024,-95.712891
Fujifilm Holdings,26.5,0.5,26,32.4,9.4,Japan,Asia,36.204824,138.252924
Franklin Resources,7.3,2,5.3,14.4,31.9,USA,North America,37.09024,-95.712891
SCA,13.1,0.7,12.4,20.2,17.3,Sweden,Europe,60.128161,18.643501
Telecom Italia,37.9,-2.1,40,102.3,15.2,Italy,Europe,41.87194,12.56738
Ecolab,11.8,0.7,11.1,17.6,23.5,USA,North America,37.09024,-95.712891
Williams Cos,7.5,0.9,6.6,24.3,24.1,USA,North America,37.09024,-95.712891
Dominion Resources,13.1,0.3,12.8,46.8,32.7,USA,North America,37.09024,-95.712891
Tata Steel,26.1,1,25.1,28.8,6.4,India,Asia,20.593684,78.96288
Tencent Holdings,7,2,5,12.1,65,China,Asia,35.86166,104.195397
Sodexo,22.9,0.7,22.2,15.9,14.3,France,Europe,46.227638,2.213749
Industrial Bank of Korea,9.3,1,8.3,185.9,6.4,South Korea,Asia,35.907757,127.766922
Public Bank,4.2,1.3,2.9,89.8,18,Malaysia,Asia,4.210484,101.975766
HeidelbergCement,18,0.4,17.6,37,13.9,Germany,Europe,51.165691,10.451526
Ferrovial,10.1,0.9,9.2,27.2,11.9,Spain,Europe,40.463667,-3.74922
Cemig,9.5,2.2,7.3,19.4,10.7,Brazil,South America,-14.235004,-51.92528
Yum Brands,13.6,1.6,12,9,31.6,USA,North America,37.09024,-95.712891
Thales,18.2,0.7,17.5,28.2,8.8,France,Europe,46.227638,2.213749
Unum Group,10.5,0.9,9.6,62.2,7.5,USA,North America,37.09024,-95.712891
Investor,3.5,3.7,-0.2,35.3,22.9,Sweden,Europe,60.128161,18.643501
Annaly Capital Management,3.3,1.7,1.6,133.5,14.8,USA,North America,37.09024,-95.712891
Toray Industries,19.2,0.8,18.4,18.8,10.4,Japan,Asia,36.204824,138.252924
Starbucks,13.7,1.4,12.3,8.5,43.2,USA,North America,37.09024,-95.712891
Kubota,12.2,0.7,11.5,18,17.4,Japan,Asia,36.204824,138.252924
PTT Global Chemical,18.5,1.1,17.4,14.2,11.3,Thailand,Asia,15.870032,100.992541
BanColombia,5.9,1,4.9,55.4,13.5,Colombia,South America,4.570868,-74.297333
Sprint Nextel,35.3,-4.3,39.6,51.6,17.5,USA,North America,37.09024,-95.712891
Cathay Financial,9.2,0.4,8.8,165.3,14.3,Taiwan,Asia,23.69781,120.960515
SLM,6.1,0.9,5.2,181.3,9,USA,North America,37.09024,-95.712891
Samsung Fire & Marine,14.7,0.7,14,34.5,8.2,South Korea,Asia,35.907757,127.766922
Bank Central Asia,4,1.2,2.8,46,27.1,Indonesia,Asia,-0.789275,113.921327
Grupo Pão de Açúcar,24.9,0.5,24.4,16.8,14.1,Brazil,South America,-14.235004,-51.92528
Publicis Groupe,8.7,1,7.7,21.8,14.7,France,Europe,46.227638,2.213749
Kohl's,19.3,1,18.3,13.9,11.4,USA,North America,37.09024,-95.712891
DISH Network,14.3,0.6,13.7,17.4,15.9,USA,North America,37.09024,-95.712891
Chunghwa Telecom,7.4,1.4,6,15.2,24.3,Taiwan,Asia,23.69781,120.960515
T&D Holdings,24.5,0.3,24.2,155.1,8.1,Japan,Asia,36.204824,138.252924
Stryker,8.7,1.3,7.4,13.2,25.1,USA,North America,37.09024,-95.712891
Isuzu Motors,16.9,1.1,15.8,14.6,10.5,Japan,Asia,36.204824,138.252924
Hartford Financial Services,26.4,0,26.4,298.5,11.5,USA,North America,37.09024,-95.712891
Unibail-Rodamco,2.3,1.9,0.4,39,22.2,France,Europe,46.227638,2.213749
Yahoo,5,3.9,1.1,17.1,24.3,USA,North America,37.09024,-95.712891
HJ Heinz,11.6,1,10.6,11.9,23.2,USA,North America,37.09024,-95.712891
General Dynamics,31.5,-0.3,31.8,34.3,24.7,USA,North America,37.09024,-95.712891
MTR,4.6,1.7,2.9,26.7,23,Hong Kong,Asia,22.396428,114.109497
China National Building,13.8,0.9,12.9,31.2,7.5,China,Asia,35.86166,104.195397
Abertis,5.2,1.4,3.8,37.2,14.3,Spain,Europe,40.463667,-3.74922
Westfield Group,2.5,1.8,0.7,35.3,25.4,Australia,Oceania,-25.274398,133.775136
Mitsubishi Chemical,38.8,0.4,38.4,37.4,7.4,Japan,Asia,36.204824,138.252924
Virgin Media,6.7,4.6,2.1,17.1,24.3,USA,North America,37.09024,-95.712891
Siam Cement,13.3,0.8,12.5,12.8,20.3,Thailand,Asia,15.870032,100.992541
M&T Bank,4.6,1,3.6,83,13.4,USA,North America,37.09024,-95.712891
Daqin Railway,7.2,1.9,5.3,14.9,18.7,China,Asia,35.86166,104.195397
Tata Consultancy Services,9.6,2,7.6,8.1,56.9,India,Asia,20.593684,78.96288
China Resources Land,5.7,1.4,4.3,29.4,14.6,Hong Kong,Asia,22.396428,114.109497
Fanuc,6.5,1.7,4.8,13.7,29.7,Japan,Asia,36.204824,138.252924
Datang International Power,12.2,0.6,11.6,42.4,8.4,China,Asia,35.86166,104.195397
Bangkok Bank,4.3,1.1,3.2,79.1,15.1,Thailand,Asia,15.870032,100.992541
Seagate Technology,16.3,3.2,13.1,8.7,12.7,Ireland,Europe,53.41291,-8.24389
Ensco,6.8,1.8,5,18.5,14.1,UK,Europe,55.378051,-3.435973
Kingfisher,16.8,0.9,15.9,15.6,10.3,UK,Europe,55.378051,-3.435973
HollyFrontier,20.1,1.7,18.4,10.3,10.8,USA,North America,37.09024,-95.712891
Galp Energia,24.4,0.5,23.9,18,13.1,Portugal,Europe,39.399872,-8.224454
George Weston,32.8,0.5,32.3,21.9,9.1,Canada,North America,56.130366,-106.346771
